"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"5c5e113e1faed6554895352a","Taphonomic analysis of late Pleistocene mastodon occurrences: evidence of butchery by North American Paleo-Indians","Paleobiology","Fisher, Daniel C.","5","https://www.cambridge.org/core/product/identifier/S0094837300008319/type/journal_article","Cambridge","10.1017/S0094837300008319","1984","These include trampling damage, stream trans<U+00AD> port, or damage produced by displacement dur<U+00AD> ing freeze-thaw","11370"
"5c5e113e1faed6554895352a","Taphonomic analysis of late Pleistocene mastodon occurrences: evidence of butchery by North American Paleo-Indians","Paleobiology","Fisher, Daniel C.","5","https://www.cambridge.org/core/product/identifier/S0094837300008319/type/journal_article","Cambridge","10.1017/S0094837300008319","1984","but are not compatible with fractures sustained in vivo, by carnivore activity, or by most trampling damage","11370"
"5c5e113e1faed6554895352a","Taphonomic analysis of late Pleistocene mastodon occurrences: evidence of butchery by North American Paleo-Indians","Paleobiology","Fisher, Daniel C.","5","https://www.cambridge.org/core/product/identifier/S0094837300008319/type/journal_article","Cambridge","10.1017/S0094837300008319","1984","A guide for differentiating mammalian car<U+00AD> nivore taxa responsible for gnaw damage to herbivore limb","11370"
"5c5e113e1faed6554895352a","Taphonomic analysis of late Pleistocene mastodon occurrences: evidence of butchery by North American Paleo-Indians","Paleobiology","Fisher, Daniel C.","5","https://www.cambridge.org/core/product/identifier/S0094837300008319/type/journal_article","Cambridge","10.1017/S0094837300008319","1984","On carnivore and weathering damage to bone. Curr. Anthropol. 77:335-336. Hnx, A. 1979.","11370"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology","Enk, J.M.; Yesner, D.R.; Crossen, K.J.; Veltre, D.W.; O'Rourke, D.H.","5","http://www.sciencedirect.com/science/article/pii/S0031018208006743","Elsevier","10.1016/j.palaeo.2008.12.019","1 March 2009","It is interesting to note, however, that we observed multiple instances of damage/misreads at certain","13919"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology","Enk, J.M.; Yesner, D.R.; Crossen, K.J.; Veltre, D.W.; O'Rourke, D.H.","5","http://www.sciencedirect.com/science/article/pii/S0031018208006743","Elsevier","10.1016/j.palaeo.2008.12.019","1 March 2009","Of the thirtyone sites with less than 100% consensus among sequencing reactions, 15 exhibited damage","13919"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology","Enk, J.M.; Yesner, D.R.; Crossen, K.J.; Veltre, D.W.; O'Rourke, D.H.","5","http://www.sciencedirect.com/science/article/pii/S0031018208006743","Elsevier","10.1016/j.palaeo.2008.12.019","1 March 2009","for the <U+201C>damage hotspot<U+201D> phenomenon (Gilbert et al., 2003a,b).","13919"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology","Enk, J.M.; Yesner, D.R.; Crossen, K.J.; Veltre, D.W.; O'Rourke, D.H.","5","http://www.sciencedirect.com/science/article/pii/S0031018208006743","Elsevier","10.1016/j.palaeo.2008.12.019","1 March 2009","Distribution patterns of postmortem damage in human mitochondrial DNA. Am. J. Hum.","13919"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology","Enk, J.M.; Yesner, D.R.; Crossen, K.J.; Veltre, D.W.; O'Rourke, D.H.","5","http://www.sciencedirect.com/science/article/pii/S0031018208006743","Elsevier","10.1016/j.palaeo.2008.12.019","1 March 2009","Characterization of genetic miscoding lesions caused by postmortem damage. Am. J. Hum.","13919"
"5a2a9b01cf58f1766a89f237","A 50,000<U+00A0>year insect record from Rancho La Brea, Southern California: Insights into past climate and fossil deposition","Quaternary Science Reviews","Holden, Anna R.; Southon, John R.; Will, Kipling; Kirby, Matthew E.; Aalbu, Rolf L.; Markey, Molly J.","1","https://www.sciencedirect.com/science/article/pii/S0277379117301671","Elsevier","10.1016/j.quascirev.2017.05.001","15 July 2017","Paleoecological and taphonomic implications of insect-damaged Pleistocene vertebrate remains from Rancho","13924"
"54b43266e138239d8684f177","Current perspectives on the Pleistocene archaeology of eastern Beringia","Quaternary Research","Morlan, Richard E","1","http://www.sciencedirect.com/science/article/pii/S003358940300070X","Elsevier","10.1016/S0033-5894(03)00070-X","July 2003","Thus, there is convincing microscopic evidence that the bison rib MlVl-13:21 was damaged by a tool-wielding","13891"
"550706d8e1382326932d93b6","Proboscideans and paleoenvironments of the Pleistocene Great Lakes: landscape, vegetation, and stable isotopes","Quaternary Science Reviews","Metcalfe, Jessica Z.; Longstaffe, Fred J.; Hodgins, Greg","1","http://www.sciencedirect.com/science/article/pii/S0277379113002618","Elsevier","10.1016/j.quascirev.2013.07.004","15 September 2013","reserves in aboveground parts during winter; consequently, even moderate browsing can cause severe damage","13935"
"5a39e757cf58f12ef27cd1c8","Bison Freezers and Hunter-Gatherer Mobility: Archaeological Analysis of Cold Lava Tube Caves on Idaho<U+2019>s Snake River Plain","Plains Anthropologist","Henrikson, L Suzann","1","https://www.tandfonline.com/doi/full/10.1080/2052546.2003.11949267","Taylor and Francis","10.1080/2052546.2003.11949267","2017 11","Because this sagebrush feature was completely frozen, it was removed from only one grid unit to avoid damaging","14026"
"5c30334a1faed655488b7433","Subregional variability in the response of New England vegetation to postglacial climate change","Journal of Biogeography","Oswald, W. Wyatt; Foster, David R.; Shuman, Bryan N.; Doughty, Elaine D.; Faison, Edward K.; Hall, Brian R.; Hansen, Barbara C. S.; Lindbladh, Matts; Marroquin, Adriana; Truebe, Sarah A.","1","http://doi.wiley.com/10.1111/jbi.13407","Wiley","10.1111/jbi.13407","2018 10","The southern, coastal areas are  particularly susceptible to hurricane damage (Boose, Chamberlin, & Foster","14171"
"58cb4a76cf58f1beae14c4ea","A reevaluation of the Harrodsburg Crevice fauna (late Pleistocene of Indiana, U.S.A.) and the climatic implications of its mammals","Journal of Vertebrate Paleontology","Smith, Michael R.; Polly, P. David","1","http://www.tandfonline.com/doi/abs/10.1080/02724634.2013.725440","Taylor and Francis","10.1080/02724634.2013.725440","2013 03","sediment and excavated part of the undisturbed talus slope, leaving some intact sediments behind to avoid damaging","14226"
"54b4324fe138239d8684affe","Testate amoebae record from the Laptev Sea coast and its implication for the reconstruction of Late Pleistocene and Holocene environments in the Arctic Siberia","Palaeogeography, Palaeoclimatology, Palaeoecology","M<U+00FC>ller, Stefanie; Bobrov, Anatoly A.; Schirrmeister, Lutz; Andreev, Andrei A.; Tarasov, Pavel E.","1","http://www.sciencedirect.com/science/article/pii/S0031018208006007","Elsevier","10.1016/j.palaeo.2008.11.003","15 January 2009","TA communities could not develop in this environment and/or TA shells were mechanically damaged and destroyed","15410"
"589ed2cecf58f107fe24cb82","Rediscovery of a lost Lagerst<U+00E4>tte: a comparative analysis of the historical and recent Mare aux Songes dodo excavations on Mauritius","Historical Biology","Hume, J.P.; de Louw, P.G.B.; Rijsdijk, K.F.","2","http://www.tandfonline.com/doi/full/10.1080/08912963.2014.945927","Taylor and Francis","10.1080/08912963.2014.945927","2015 11","Fossil material from sub-basin I exhibits mechanical surface damage and pressure-induced actual breakage","15427"
