"A","Amphibian"
"PDfl","Podomys floridanus"
"PPpr","Pteronotus pristinus"
"PRlr","Procyon lotor"
"PR","Procyon sp."
"PRO","Procyonidae"
"R","Reptile"
"RODE","RODENTIA"
"RGar","Rangifer arcticus"
"RG","Rangifer sp."
"RGta","Rangifer tarandus"
"RAno","Rattus norvegicus"
"RAra","Rattus rattus"
"RA","Rattus sp."
"RYfu","Reithrodontomys fulvescens"
"RYhs","Reithrodontomys humulis"
"RYme","Reithrodontomys megalotis"
"RYmt","Reithrodontomys montanus"
"RYrv","Reithrodontomys raviventris"
"RY","Reithrodontomys sp."
"SAL","SALIX"
"SIRE","SIRENIA"
"SGta","Saiga tatarica"
"SGfu","Sangamona fugitiva"
"SAaq","Scalopus aquaticus"
"SA","Scalopus sp."
"SUls","Scapanus latimanus"
"SUos","Scapanus orarius"
"SU","Scapanus sp."
"SUti","Scapanus townsendii"
"SCI","Sciuridae"
"SCab","Sciurus aberti"
"SCaa","Sciurus aberti/arizonensis"
"SCal","Sciurus alleni"
"SCar","Sciurus arizonensis"
"SCca","Sciurus carolinensis"
"SCgr","Sciurus griseus"
"SCny","Sciurus nayaritensis"
"SCni","Sciurus niger"
"SC","Sciurus sp."
"SIba","Sigmodon bakeri"
"SIfl","Sigmodon fulviventer"
"SIhi","Sigmodon hispidus"
"SIoc","Sigmodon ochrognathus"
"SI","Sigmodon sp."
"SM","Smilodon sp."
"SMfa","Smilodon fatalis"
"SMfl","Smilodon floridanus"
"SXas","Sorex arcticus"
"SXaz","Sorex arizonae"
"SXbi","Sorex bendirii"
"SXcs","Sorex cinereus"
"SXdr","Sorex dispar"
"SXfo","Sorex fontinalis"
"SXfs","Sorex fumeus"
"SXga","Sorex gaspensis"
"SXha","Sorex haydeni"
"SXhi","Sorex hoyi"
"SXhy","Sorex hydrodromus"
"SXjx","Sorex jacksoni"
"SXka","Sorex kansasensis"
"SXls","Sorex longirostris"
"SXli","Sorex lyelli"
"SXmi","Sorex merriami"
"SXms","Sorex monticolus"
"SXmv","Sorex monticolus/vagrans"
"SXns","Sorex nanus"
"SXos","Sorex ornatus"
"SXps","Sorex pacificus"
"SXpt","Sorex palustris"
"SXpa","Sorex pratensis"
"SXpi","Sorex preblei"
"SXsc","Sorex scottensis"
"SXsi","Sorex sinuosus"
"SX","Sorex sp."
"SXts","Sorex tenellus"
"SXti","Sorex trowbridgii"
"SXtu","Sorex tundrensis"
"SXvs","Sorex vagrans"
"SOR","Soricidae"
"SPar","Spermophilus armatus"
"SPbe","Spermophilus beecheyi"
"SPbi","Spermophilus beldingi"
"SPbl","Spermophilus beldingi/elegans"
"SPbr","Spermophilus brunneus"
"SPco","Spermophilus columbianus"
"SPel","Spermophilus elegans"
"SPfr","Spermophilus franklinii"
"SPla","Spermophilus lateralis"
"SPme","Spermophilus mexicanus"
"SPmo","Spermophilus mohavensis"
"SPpy","Spermophilus parryii"
"SPri","Spermophilus richardsonii"
"SP","Spermophilus sp."
"SPsp","Spermophilus spilosoma"
"SPte","Spermophilus tereticaudus"
"SPti","Spermophilus townsendii"
"SPtr","Spermophilus tridecemlineatus"
"SPva","Spermophilus variegatus"
"SPwi","Spermophilus washingtoni"
"SLgr","Spilogale gracilis"
"SLpu","Spilogale putorius"
"SL","Spilogale sp."
"STco","Stockoceros conklingi"
"STon","Stockoceros onusrosagris"
"ST","Stockoceros sp."
"SUI","Suidae"
"SSsc","Sus scrofa"
"SS","Sus sp."
"SYaq","Sylvilagus aquaticus"
"SYau","Sylvilagus audubonii"
"SYaf","Sylvilagus audubonii/floridanus"
"SYba","Sylvilagus bachmani"
"SYfl","Sylvilagus floridanus"
"SYid","Sylvilagus idahoensis"
"SYle","Sylvilagus leonensis"
"SYnu","Sylvilagus nuttalli"
"SYpt","Sylvilagus palustris"
"SY","Sylvilagus sp."
"SYtr","Sylvilagus transitionalis"
"SB","Symbos sp."
"SBcv","Symbos cavifrons"
"SNau","Synaptomys australis"
"SNbo","Synaptomys borealis"
"SNco","Synaptomys cooperi"
"SN","Synaptomys sp."
"TDbr","Tadarida brasiliensis"
"TDco","Tadarida constantinei"
"TD","Tadarida sp."
"TAL","Talpidae"
"TAal","Tamias alpinus"
"TAas","Tamias amoenus"
"TAar","Tamias aristas"
"TAcp","Tamias canipes"
"TAci","Tamias cinereicollis"
"TAdo","Tamias dorsalis"
"TAme","Tamias merriami"
"TAmn","Tamias minimus"
"TApr","Tamias palmeri"
"TApa","Tamias panamintinus"
"TAqm","Tamias quadrimaculatus"
"TAqv","Tamias quadrivittatus"
"TAru","Tamias ruficaudus"
"TAso","Tamias sonomae"
"TA","Tamias sp."
"TAsp","Tamias speciosus"
"TAst","Tamias striatus"
"TAti","Tamias townsendii"
"TAum","Tamias umbrinus"
"TSdi","Tamiasciurus douglasii"
"TShu","Tamiasciurus hudsonicus"
"TS","Tamiasciurus sp."
"TN","Tanupolama sp."
"TAP","Tapiridae"
"TP","Tapirus sp."
"TPca","Tapirus californicus"
"TPco","Tapirus copei"
"TPha","Tapirus haysii"
"TPme","Tapirus merriami"
"TPtn","Tapirus tennesseae"
"TPve","Tapirus veroensis"
"TX","Taxidea sp."
"TXta","Taxidea taxus"
"TYpc","Tayassu pecari"
"TY","Tayassu sp."
"TYta","Tayassu tajacu"
"TAY","Tayassuidae"
"TTsh","Tetrameryx shuleri"
"TT","Tetrameryx sp."
"THbo","Thomomys bottae"
"THbu","Thomomys bulbivorus"
"THma","Thomomys mazama"
"THmi","Thomomys microdon"
"THmo","Thomomys monticola"
"TH","Thomomys sp."
"THor","Thomomys orientalis"
"THsc","Thomomys scudderi"
"THta","Thomomys talpoides"
"THto","Thomomys townsendii"
"THum","Thomomys umbrinus"
"THve","Thomomys vetus"
"TOhy","Torontoceros hypogaeus"
"TRfl","Tremarctos floridanus"
"TRI","Trichechidae"
"TUtr","Tursiops truncatus"
"TCma","Trichechus manatus"
"UYci","Urocyon cinereoargenteus"
"UYli","Urocyon littoralis"
"UY","Urocyon sp."
"URS","Ursidae"
"URam","Ursus americanus"
"URar","Ursus arctos"
"URms","Ursus maritimus"
"UR","Ursus sp."
"VES","Vespertilionidae"
"VUma","Vulpes macrotis"
"VU","Vulpes sp."
"VUve","Vulpes velox"
"VUvu","Vulpes vulpes"
"YUC","Yucca"
"ZAcs","Zalophus californicus"
"ZAP","Zapodidae"
"ZEA","Zea Mays"
"ZPhu","Zapus hudsonius"
"ZPpr","Zapus princeps"
"ZP","Zapus sp."
"ZPtr","Zapus trinotatus"

