"","siteid","sitename","primary","datasetid","publicationid","pubtypeid","pubtype","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url","city","state","country","originallanguage","notes","author_order","author_familyname","author_givennames"
"39","14418","Haile XV A (Haile 15A)","FALSE","22580","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Ray","Clayton E."
"40","14418","Haile XV A (Haile 15A)","FALSE","22580","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Anderson","Elaine"
"41","14418","Haile XV A (Haile 15A)","FALSE","22580","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Webb","S. David"
"42","14439","Santa Fe River 8A","TRUE","22602","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Ray","Clayton E."
"43","14439","Santa Fe River 8A","TRUE","22602","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Anderson","Elaine"
"44","14439","Santa Fe River 8A","TRUE","22602","1642","1","Journal Article","1981","Ray, C.E., E. Anderson, and S.D. Webb. 1981. The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States. Brimleyana 5:1-36.","The Blancan carnivore Trigonictis (Mammalia: Mustelidae) in the eastern United States","Brimleyana","5",NA,"1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Webb","S. David"
"45","5150","Gingery Cache [8TA99]",NA,"6446","1688","0","Legacy","1988","Alexon, R. C. 1988. Gingery Cache site (8Ta99): a cache of possible paleolithic tools found with mastodon bones. Florida Anthropologist 41(3):483-485.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Alexon","R. C."
"46","5132","Zabski",NA,"6416","1709","0","Legacy","1967","Atkins, S., and J. MacMahan. 1967. The Zabski site, Merritt Island, Florida. Florida Anthropologist 20(3-4):133-145.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Atkins","S."
"47","5132","Zabski",NA,"6416","1709","0","Legacy","1967","Atkins, S., and J. MacMahan. 1967. The Zabski site, Merritt Island, Florida. Florida Anthropologist 20(3-4):133-145.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","MacMahan","J."
"48","5172","Mefford Cave I",NA,"6468","1710","0","Legacy","1957","Auffenberg, W. 1957. A note on an unusually complete specimen of Dasypus bellus (Simpson) from Florida. Quarterly Journal of Florida Academy of Sciences 20(4):233-237.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Auffenberg","Walter"
